"decimalLongitude","decimalLatitude","rep3"
-89.764112,19.99074,261
-87.119698,20.580913,259
-88.568309,20.679144,258
-86.895058,20.855133,257
-88.534467,18.760363,256
-86.805605,21.20386,255
-88.457546,20.612986,257
-87.357498,20.315013,259
-89.810257,18.106783,251
-89.569829,20.992231,257
-89.629873,20.968145,258
-86.774772,21.081945,256
-89.397963,18.518674,246
-87.029017,20.697016,258
-87.381271,20.279379,259
-89.777491,18.500616,249
-88.7849,18.420663,252
-87.330303,21.554851,252
-88.446674,20.5879,257
-88.169818,20.601351,254
-86.979179,20.280708,261
-87.430068,20.214553,258
-88.156584,21.595554,254
-86.815424,21.146051,256
-89.629873,20.968145,258
-87.095931,20.599116,258
-87.05011,20.647949,258
-89.771125,20.359904,263
-89.525517,20.99069,258
-89.625326,21.093501,256
-90.047333,21.00004,260
-87.956633,21.457256,253
-89.610322,21.030767,257
-87.394133,21.514795,252
-86.93867,20.52878,260
-89.025955,20.009219,259
-86.827518,21.323134,255
-87.038485,20.660757,259
-89.002913,18.193852,252
-86.780083,21.060165,256
-87.9879,19.602903,259
-88.118839,20.728334,253
-89.49282,18.409842,246
-86.781512,21.052338,256
-87.722475,20.493835,256
-86.85744,21.20579,255
-89.65232,20.178174,260
-86.883499,20.969478,256
-86.822805,20.998367,257
-86.974553,20.476094,261
-87.429162,20.215082,258
-87.084526,20.611954,258
-89.629873,20.968145,258
-89.202498,21.128241,258
-89.769889,20.361456,263
-87.134072,20.588604,258
-89.97921,21.17919,258
-90.230434,19.597163,264
-89.416064,18.595241,246
-89.261018,21.343983,256
-86.851528,21.161908,255
-87.909428,18.010501,266
-86.851898,21.089909,255
-86.972369,20.360344,260
-87.258691,20.49402,258
-86.77731,21.073865,256
-87.083672,20.630085,258
-87.111023,20.662648,258
-88.733461,20.76514,259
-89.353945,21.313555,256
-86.846505,20.5,260
-86.770424,21.093572,256
-87.203902,21.427957,252
-87.758023,20.456828,255
-87.141831,20.620738,258
-86.922343,20.422984,261
-90.047355,21.164197,259
-87.940836,21.601754,253
-88.236887,18.583192,260
-88.809845,19.897132,260
-87.022724,20.376598,260
-87.086539,20.650779,258
-89.420201,20.301855,257
-89.578189,21.257598,255
-87.022484,20.377245,260
-86.940766,20.52698,260
-87.356785,20.317383,259
-89.65081,21.038441,257
-89.664442,20.985968,258
-88.633116,21.110319,258
-89.65469,21.042945,257
